description,amount,category,type,date
Salary credited for March 2023 today,37876,Salary,income,2026-01-15
Movie tickets at Carnival Cinemas again,6037,Entertainment,expense,2024-09-16
Salary credited for January 2026 again,147150,Salary,income,2024-08-16
TRAIN TICKET BOOKED TO BENGALURU VIA IRCTC,3594,Travel,expense,2024-12-02
lunch with friends at food court,1822,Food,expense,2024-11-09
Rent paid for April done,39305,Rent,expense,2026-08-03
Behrouz Biryani lunch order,297,Food,expense,2025-03-01
Salary plus incentive credited done,107817,Salary,income,2025-02-25
Rent paid for June via UPI,41018,Rent,expense,2024-08-05
Auto rickshaw fare to college - paid online,19678,Travel,expense,2025-09-18
gaming subscription renewal today,7075,Entertainment,expense,2023-09-04
CCD order for family again,1649,Food,expense,2024-09-20
Bus ticket to Jaipur urgent,6860,Travel,expense,2024-10-14
studio apartment rent payment urgent,49600,Rent,expense,2025-01-02
Ordered sandwich from KFC,2787,Food,expense,2023-01-12
Bought electronics from Reliance Digital via UPI,18604,Shopping,expense,2024-07-30
Concert tickets booked done,2045,Entertainment,expense,2023-07-18
Paid house rent,49901,Rent,expense,2024-10-02
House rent for January urgent,14958,Rent,expense,2024-01-20
Advance rent paid for new flat completed,22559,Rent,expense,2026-07-30
Purchased a bicycle for family,45027,Shopping,expense,2024-11-16
purchased home decor items for family,15240,Shopping,expense,2026-04-08
Salary credited for March 2025 urgent,150184,Salary,income,2025-08-07
house rent for november,13787,Rent,expense,2025-10-25
Flat rent for the month of November today,26643,Rent,expense,2023-06-14
Ola cab booking to market (cash),4756,Travel,expense,2023-06-22
salary credited for May 2023,88455,Salary,income,2025-01-16
pg rent payment done,25419,Rent,expense,2025-10-17
Cab fare to Mumbai for business trip,17505,Travel,expense,2026-03-25
Salary credited for December 2025 again,175035,Salary,income,2026-05-17
Cashback from credit card (cash),31026,Others,income,2023-09-14
Video game purchase on Steam,4930,Entertainment,expense,2025-03-09
rent transferred to flat owner via upi again,33447,Rent,expense,2023-05-06
Shopping at H&M completed,14382,Shopping,expense,2025-05-02
Freelance project payment received done,32509,Others,income,2024-03-18
Purchased home decor items - noted,22467,Shopping,expense,2023-06-24
bus ticket to mumbai done,19577,Travel,expense,2023-10-20
Medicine purchase from pharmacy confirmed,6671,Others,expense,2026-04-29
Cashback credited on UPI payment urgent,30927,Others,income,2025-07-07
spotify premium payment again,9138,Entertainment,expense,2024-11-10
Overtime pay credited completed,36689,Salary,income,2026-01-03
Rent paid for December - paid online,12807,Rent,expense,2025-02-24
WINTER CLOTHES BOUGHT FROM LIFESTYLE,48401,Shopping,expense,2024-02-04
Flipkart purchase - noted,30207,Shopping,expense,2025-03-11
Rapido bike ride to airport,4649,Travel,expense,2024-12-23
Consulting salary credited urgent,171370,Salary,income,2025-11-18
Salary credited for March 2023 via GPay,84045,Salary,income,2024-06-20
uber ride to home for family,17689,Travel,expense,2023-03-24
Weekend movie outing at Carnival Cinemas,5694,Entertainment,expense,2023-04-18
Salary transfer via NEFT completed,33708,Salary,income,2024-11-12
Salary credited for May 2026,73740,Salary,income,2023-10-09
Tiffin service monthly payment,2159,Food,expense,2025-12-16
Ordered pasta from Pizza Hut via UPI,1865,Food,expense,2023-10-02
annual increment salary credited done,181776,Salary,income,2025-03-31
Hostel rent payment again,49536,Rent,expense,2024-11-10
Shopping at Westside,30142,Shopping,expense,2024-07-15
Gaming subscription renewal - paid online,6153,Entertainment,expense,2024-03-24
Salary credited for February 2024 urgent,69701,Salary,income,2023-07-21
House rent for February confirmed,13652,Rent,expense,2025-08-28
Diesel refill for car (cash),12126,Travel,expense,2023-10-13
Music concert tickets booked done,6296,Entertainment,expense,2025-04-19
Quick snack from Starbucks,2747,Food,expense,2023-03-22
Ola cab booking to friend's house via GPay,13361,Travel,expense,2026-04-24
CASHBACK FROM CREDIT CARD,39635,Others,income,2025-10-12
Behrouz Biryani food delivery done,689,Food,expense,2026-06-20
Ice cream treat after dinner urgent,2946,Food,expense,2026-07-20
Family dinner at rooftop cafe,2213,Food,expense,2023-09-13
Rent paid for May via GPay,27534,Rent,expense,2024-03-09
RENT TRANSFERRED TO FLAT OWNER VIA UPI (cash),44536,Rent,expense,2024-09-03
Cab fare to Ahmedabad for business trip for family,19938,Travel,expense,2025-04-04
Bought clothes from Max Fashion today,16793,Shopping,expense,2026-04-14
Shared cab ride with colleagues,2330,Travel,expense,2025-12-12
Online order from Amazon,43499,Shopping,expense,2024-06-17
Uber ride to college (cash) - noted,254,Travel,expense,2025-09-13
MOVIE TICKETS AT INOX for family,4104,Entertainment,expense,2023-05-28
Flat rent for the month of November again,34794,Rent,expense,2023-08-10
winter clothes bought from pantaloons,7532,Shopping,expense,2025-10-23
Bought skincare products completed,15190,Shopping,expense,2025-06-29
Bought clothes from Zara for family,28704,Shopping,expense,2023-03-22
Temple donation,2505,Others,expense,2025-09-12
Insurance claim amount credited - noted,33967,Others,income,2023-07-14
new outfit purchased from uniqlo,3824,Shopping,expense,2025-04-17
Salary credited for July 2025,173931,Salary,income,2025-07-03
Salary credited for July 2024 today,186958,Salary,income,2025-12-26
rapido bike ride to railway station,15736,Travel,expense,2024-12-01
Salary credited for September 2024 - noted,195467,Salary,income,2024-05-25
Rent split with roommate paid,11796,Rent,expense,2025-05-02
Cab fare to Bengaluru for business trip confirmed,11693,Travel,expense,2025-07-04
House rent for May completed,45390,Rent,expense,2024-12-29
Pizza Hut lunch order,597,Food,expense,2025-07-23
Salary credited for December 2023 completed,57999,Salary,income,2025-06-17
MOVIE TICKETS AT LOCAL MULTIPLEX,6949,Entertainment,expense,2023-05-18
Ordered pizza from Dominos again,1503,Food,expense,2025-09-30
Ordered biryani from Zomato,114,Food,expense,2023-02-16
PRIZE MONEY RECEIVED FROM CONTEST,22364,Others,income,2023-05-12
Flight ticket booking to Mumbai for family,16708,Travel,expense,2023-03-28
Salary credited for December 2023 this month,100777,Salary,income,2023-07-27
Company payroll deposit this month,187816,Salary,income,2023-10-30
Rent transferred to flat owner via UPI done,16694,Rent,expense,2026-08-14
Salary credited for June 2025 this month,163253,Salary,income,2025-11-12
Ordered biryani from Chaayos completed,686,Food,expense,2024-10-09
New watch purchased,2836,Shopping,expense,2026-06-01
TRAIN TICKET BOOKED TO BENGALURU VIA IRCTC again,5035,Travel,expense,2024-08-25
stock market profit withdrawn this month,3400,Others,income,2025-08-28
House maintenance charges paid completed,26410,Others,expense,2026-07-16
Cab fare to Chandigarh for business trip completed,2830,Travel,expense,2025-07-12
Rental income received from tenant done,7984,Others,income,2026-04-02
Car servicing payment - noted,7557,Travel,expense,2026-02-18
Bank locker annual fee paid again,18973,Others,expense,2023-12-10
Interest credited on savings account this month,7322,Others,income,2024-11-09
Sold old furniture - payment received completed,10273,Others,income,2023-12-20
Purchased a bicycle this month,46527,Shopping,expense,2025-05-10
Rent paid for June confirmed,19370,Rent,expense,2025-08-08
Pizza Hut food delivery again,589,Food,expense,2023-01-26
dinner at highway dhaba,710,Food,expense,2026-01-22
shared cab ride with colleagues urgent,18565,Travel,expense,2025-05-23
Video game purchase on Steam again,281,Entertainment,expense,2025-02-25
Comic con tickets booked for family,2712,Entertainment,expense,2024-04-03
bought clothes from h&m,36150,Shopping,expense,2025-06-22
Winter clothes bought from H&M,38099,Shopping,expense,2025-11-23
Theme park annual pass completed,1442,Entertainment,expense,2025-08-04
Salary credited for January 2025 - noted,132178,Salary,income,2024-12-09
WEEKEND BRUNCH AT DHABA - paid online,2638,Food,expense,2024-05-08
Family movie night at Carnival Cinemas again,3951,Entertainment,expense,2023-10-12
Freelance writing payment received for family,24671,Others,income,2024-01-24
Weekend movie outing at PVR done,1974,Entertainment,expense,2023-03-06
Online order from Amazon via UPI,3293,Shopping,expense,2024-09-12
late night Zomato order,1194,Food,expense,2023-01-06
Cab fare to Jaipur for business trip this month,16951,Travel,expense,2023-09-17
Train ticket booked to Jaipur via IRCTC confirmed,14540,Travel,expense,2024-07-26
Shopping at Allen Solly - noted,26626,Shopping,expense,2025-08-07
Salary credited for June 2023 confirmed,198341,Salary,income,2024-04-13
Bike servicing at garage this month,8035,Travel,expense,2025-02-02
Theme park annual pass done,4628,Entertainment,expense,2024-08-02
Video game purchase on Steam (cash),3035,Entertainment,expense,2024-01-19
Office rent paid - noted,36883,Rent,expense,2023-06-23
Tax refund credited confirmed,30073,Others,income,2024-07-20
dth recharge payment via PhonePe,19484,Others,expense,2026-04-23
Hostel rent payment,24278,Rent,expense,2025-07-16
bought vegetables from local market,1464,Food,expense,2025-08-28
electricity bill payment via UPI,16590,Others,expense,2025-03-31
Monthly grocery haul at local kirana store completed,2253,Food,expense,2025-04-21
Netflix subscription today,8497,Entertainment,expense,2024-04-22
Parking fee paid completed,9640,Travel,expense,2026-08-10
weekend brunch at friend's place (cash),2460,Food,expense,2025-08-26
Monthly rent paid to flat owner confirmed,32209,Rent,expense,2023-08-05
vegetables and fruits from local kirana store via PhonePe,983,Food,expense,2023-03-23
box8 lunch order,1817,Food,expense,2024-02-13
Bought clothes from Westside confirmed,36349,Shopping,expense,2024-11-28
Bus ticket to Bengaluru completed,11188,Travel,expense,2026-01-05
Family movie night at PVR,6470,Entertainment,expense,2024-09-13
Uber ride to college - noted,14722,Travel,expense,2023-08-08
Family movie night at Carnival Cinemas done,4710,Entertainment,expense,2024-03-23
Canteen food coupon recharge,2098,Food,expense,2026-01-13
Bought books online again,27346,Shopping,expense,2025-08-27
Ferry ticket booking,5577,Travel,expense,2026-03-31
Lunch with friends at roadside stall today,1721,Food,expense,2024-11-09
Family movie night at local multiplex done,9209,Entertainment,expense,2025-11-20
Salary credited for October 2024 - noted,49482,Salary,income,2023-03-16
Flat rent for the month of May today,19120,Rent,expense,2024-06-04
Board game cafe outing today,6863,Entertainment,expense,2023-08-11
Flight ticket booking to Jaipur for family,10013,Travel,expense,2023-01-25
Video game purchase on Steam via UPI,2671,Entertainment,expense,2026-01-27
bus ticket to hyderabad,12927,Travel,expense,2025-01-29
salary credited for august 2025 completed,168654,Salary,income,2024-04-16
Weekly groceries from More Supermarket,2187,Food,expense,2025-12-26
MONEY RECEIVED FROM FRIEND FOR SHARED EXPENSE,19749,Others,income,2025-05-23
Bought clothes from H&M for family,6220,Shopping,expense,2025-01-07
Rent transferred to society office via UPI,49537,Rent,expense,2026-05-25
Salary credited for August 2026,63215,Salary,income,2025-07-14
salary credited for june 2025 done,59261,Salary,income,2025-09-25
BUS TICKET TO MUMBAI,19824,Travel,expense,2026-04-21
Quick snack from Chaayos urgent,482,Food,expense,2025-01-08
Winter clothes bought from Westside for family,27188,Shopping,expense,2024-11-08
New gadget purchased at Apple Store today,18203,Shopping,expense,2026-08-18
society maintenance and rent paid - paid online,49372,Rent,expense,2023-06-28
Rapido bike ride to college - noted,6950,Travel,expense,2025-02-01
lunch with friends at dhaba,1732,Food,expense,2024-11-03
SALARY CREDITED FOR JUNE 2025 done,106636,Salary,income,2023-10-31
Purchased perfume online done,4437,Shopping,expense,2023-12-17
Rental income received from tenant for family,21345,Others,income,2023-07-12
Evening snacks at dhaba,127,Food,expense,2024-06-18
Vegetables and fruits from Big Bazaar - noted,1929,Food,expense,2023-01-24
Auto rickshaw fare to hospital for family,10097,Travel,expense,2026-07-10
Flight ticket booking to Pune again,16082,Travel,expense,2023-12-14
Bought clothes from Levis again,31615,Shopping,expense,2026-06-13
New outfit purchased from Lifestyle done,36830,Shopping,expense,2025-09-27
Rent paid for 1BHK flat via GPay,29866,Rent,expense,2026-04-04
Chaayos dinner order,872,Food,expense,2024-05-04
Bought a laptop bag confirmed,12971,Shopping,expense,2023-10-18
Salary credited for March 2026,114939,Salary,income,2024-01-13
flight ticket booking to Ahmedabad,11355,Travel,expense,2023-02-19
Purchased kids toys online today,13169,Shopping,expense,2024-01-09
Standup comedy show tickets done,8887,Entertainment,expense,2023-08-22
House rent for April urgent,37148,Rent,expense,2026-03-18
Car wash payment today,18006,Travel,expense,2024-01-21
Salary credited for December 2025 via UPI,87345,Salary,income,2025-06-29
Standup comedy show tickets via GPay,2021,Entertainment,expense,2024-04-03
Quick snack from Starbucks this month,1518,Food,expense,2025-06-24
rent split with roommate paid,12996,Rent,expense,2024-07-16
Ice cream treat after dinner - paid online,965,Food,expense,2025-04-13
RENT PAID FOR JULY,19979,Rent,expense,2023-07-24
Monthly salary credited today,56839,Salary,income,2026-03-07
WAREHOUSE RENT PAID,28272,Rent,expense,2024-10-27
College tuition fee paid,24616,Others,expense,2025-08-15
Karaoke night with friends - paid online,966,Entertainment,expense,2025-04-12
Shopping at Uniqlo - noted,21506,Shopping,expense,2025-04-21
rent transferred to society office via upi,15284,Rent,expense,2025-11-01
flat rent for the month of October again,35997,Rent,expense,2023-01-20
QUICK SNACK FROM BARISTA,1387,Food,expense,2026-08-23
cab fare to airport this month,14180,Travel,expense,2025-05-22
Salary credited for October 2023 for family,29490,Salary,income,2024-10-31
KFC lunch order for family,753,Food,expense,2023-07-25
Ola cab booking to market completed,3479,Travel,expense,2024-07-15
Salary credited for September 2023 this month,57360,Salary,income,2026-05-11
Airport cab prebooked,14912,Travel,expense,2025-09-06
cashback credited on UPI payment (cash),38681,Others,income,2024-11-27
Salary credited for February 2023 completed,114900,Salary,income,2026-06-08
ELECTRICIAN SERVICE PAYMENT,21028,Others,expense,2026-03-17
Dinner at hotel restaurant urgent,1278,Food,expense,2023-09-07
Concert tickets booked today,9657,Entertainment,expense,2024-07-10
bought clothes from van heusen,22640,Shopping,expense,2025-12-27
